date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:57	59741/59741	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:58%20GMT	https://ntf.foundstaging.com/service/warehousing/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/service/warehousing/index.html	(from https://ntf.foundstaging.com/)
12:01:59	59799/59799	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:58%20GMT	https://ntf.foundstaging.com/service/customs-brokerage/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/service/customs-brokerage/index.html	(from https://ntf.foundstaging.com/)
12:02:00	55445/55445	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:16:59%20GMT	https://ntf.foundstaging.com/news-insightes/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/news-insightes/index.html	(from https://ntf.foundstaging.com/)
12:02:00	434205/434205	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:18:49%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/land-containers.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/land-containers.jpg	(from https://ntf.foundstaging.com/)
12:02:01	60156/60156	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:17:01%20GMT	https://ntf.foundstaging.com/contact-us/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/contact-us/index.html	(from https://ntf.foundstaging.com/)
12:02:02	457402/457402	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Dec%202020%2008:32:37%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/home-b.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/home-b.jpg	(from https://ntf.foundstaging.com/)
12:02:02	210841/210841	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:18:57%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/land-transport.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/land-transport.jpg	(from https://ntf.foundstaging.com/)
12:02:02	56498/56498	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2006:17:02%20GMT	https://ntf.foundstaging.com/career/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/career/index.html	(from https://ntf.foundstaging.com/)
12:02:03	320097/320097	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:18:41%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/air-cargo.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/air-cargo.jpg	(from https://ntf.foundstaging.com/)
12:02:03	216728/216728	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:58%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/sea-freight-1-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/sea-freight-1-1.jpg	(from https://ntf.foundstaging.com/)
12:02:03	33881/33881	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:52%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/land-tranportation-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/land-tranportation-1.jpg	(from https://ntf.foundstaging.com/)
12:02:03	311934/311934	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2014:09:41%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/custom-brokerage.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/custom-brokerage.jpg	(from https://ntf.foundstaging.com/)
12:02:03	26806/26806	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:57%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/rail-tranportation-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/rail-tranportation-1.jpg	(from https://ntf.foundstaging.com/)
12:02:04	5939760/5939760	---M--	200	added ('OK')	application/pdf	date:Tue,%2022%20Dec%202020%2016:29:21%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/NTF-E-brochure-2020.pdf	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/NTF-E-brochure-2020.pdf	(from https://ntf.foundstaging.com/)
12:02:04	401984/401984	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:19:18%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/wearhousing.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/wearhousing.jpg	(from https://ntf.foundstaging.com/)
12:02:04	16169/16169	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:34:00%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/ship-tranportation-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/ship-tranportation-1.jpg	(from https://ntf.foundstaging.com/)
12:02:04	34834/34834	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:33:43%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/air-tranportation-1.jpg	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/air-tranportation-1.jpg	(from https://ntf.foundstaging.com/)
